review_id,publication_number,title,candidate_type,method_name,llm_candidate_score,human_candidate_score,llm_final_label,human_final_label,llm_confidence,human_modified_flag,llm_reviewer_comment_short,human_reviewer_comment,score_delta_human_minus_llm,label_agreement,score_agreement
MR0011,CN115375606B,A CARDIOPULMONARY ABNORMALITY DETECTION DEVICE AND EQUIPMENT; 一种心肺异常识别装置及设备,proposed_top,principal component analysis,1,1,△,△,medium,0,画像中の異常検出・分割とは近いが、医療・健康用途が主題で製造欠陥検出とは対象がずれる。,心肺X線画像の異常識別であり、画像異常検出という点では近いが、対象が医療画像であるため製造欠陥検出候補としては弱い。,0,True,True
MR0012,JP7519232B2,"ANOMALY DETECTION METHOD, ANOMALY DETECTION DEVICE, AND ANOMALY DETECTION PROGRAM; 異常検知方法、異常検知装置および異常検知プログラム",proposed_top,skip connection,2,1,○,△,low,1,画像検査・異常検出への接点はあるが、対象や解決手段の対応は追加確認が必要である。,GANとスキップ接続を用いた画像異常検知として参考性はあるが、problem_contextと対象物が不足しており、製造欠陥検出の代表例としては弱い。,-1,False,False
MR0013,CN119107599A,IMAGE ANOMALY DETECTION METHOD AND DEVICE BASED ON LAYERED VECTOR QUANTIZATION OF CONDITIONAL TRANSMISSION; 基于条件传输的分层矢量量化的图像异常检测方法及装置,proposed_top,Transformer,2,2,○,○,low,0,画像検査・異常検出への接点はあるが、対象や解決手段の対応は追加確認が必要である。,階層的ベクトル量子化とTransformer系構造による画像異常検出であり、対象は明確でないが、画像異常検出候補として妥当である。,0,True,True
MR0014,CN119205707A,AN IMAGE ANOMALY DETECTION METHOD BASED ON SELF-SUPERVISED LEARNING AND FEATURE DENOISING; 一种基于自监督学习和特征降噪的图像异常检测方法,proposed_top,ResNet,1,2,△,○,medium,1,画像処理や異常検出の要素はあるが、主題が製造欠陥検出から離れており代表例としては弱い。,自己教師あり学習と特徴ノイズ除去による画像異常検出であり、異常分割も含むため候補として妥当である。ただし対象物は明確でない。,1,False,False
MR0015,CN116051475B,A SURFACE ANOMALY DETECTION METHOD AND APPARATUS BASED ON A CASCADED RECONSTRUCTION-DISCRIMINATION STRUCTURE; 基于级联的重构-判别结构的表面异常检测方法及装置,proposed_top,encoder-decoder,1,3,△,◎,medium,1,画像処理や異常検出の要素はあるが、主題が製造欠陥検出から離れており代表例としては弱い。,表面異常検出を対象とし、U-Netやエンコーダ・デコーダ構造による再構成・判別を用いており、製造欠陥検出の代表例として使いやすい。,2,False,False
MR0016,CN116542916B,"TRAIN VEHICLE CHASSIS PARTS ABNORMALITY DETECTION METHOD AND DEVICE, ELECTRONIC EQUIPMENT AND MEDIUM; 列车车辆底盘零件异常检测方法和装置、电子设备及介质",proposed_top,GAN,3,3,◎,◎,high,0,製造物や設備の欠陥・異常検出を画像処理で扱っており、専門家確認候補として強い。,列車車両底盤部品の異常検出でU-Net、Autoencoder、GAN等を用いており、製造・設備検査への応用例として非常に妥当である。,0,True,True
MR0017,CN119516454A,A METHOD AND SYSTEM FOR REAL-TIME MONITORING AND ABNORMAL LOCATION OF MULTI-DIMENSIONAL DATA IN COAL MINING INDUSTRY; 一种煤矿业多维度数据实时监控与异常定位方法及系统,proposed_top,PCA,1,1,△,△,medium,0,画像処理や異常検出の要素はあるが、主題が製造欠陥検出から離れており代表例としては弱い。,炭鉱業の多次元データ監視・異常定位であり、異常検出としては関係するが、画像検査・製造欠陥検出との対応は限定的である。,0,True,True
MR0018,CN114120164A,A KIND OF TRANSMISSION LINE PIN STATE DETECTION METHOD AND DETECTION SYSTEM; 一种输电线路销钉状态检测方法和检测系统,proposed_top,VGG,3,2,◎,○,high,1,製造物や設備の欠陥・異常検出を画像処理で扱っており、専門家確認候補として強い。,送電線部材のピン状態を画像から検出する特許であり、インフラ検査寄りではあるが、視覚検査・欠陥検出候補として妥当である。,-1,False,False
MR0019,KR20240052495A,METHOD FOR PROVIDING OUTLINE INSPECTION SERVICE; 외형 검사 서비스의 제공 방법,proposed_top,転移学習,3,3,◎,◎,high,0,製造物や設備の欠陥・異常検出を画像処理で扱っており、専門家確認候補として強い。,製品の外観検査サービスを対象とし、深層学習・転移学習を用いるため、製造欠陥検出の代表候補として非常に使いやすい。,0,True,True
MR0020,CN114862839A,"IMAGE PROCESSING METHOD, DEVICE, VISUAL INSPECTION EQUIPMENT, SCHEDULING MODULE AND MEDIUM; 图像处理方法、装置、视觉检测设备、调度模块及介质",proposed_top,画像処理方法,2,1,○,△,medium,1,課題との接点はあるが、技術手段が一般語寄りで具体的な候補としては慎重な確認が必要である。,視覚検査装置の画像処理スケジューリングに関する特許であり、検査システムとしては関係するが、具体的な欠陥検出手法候補としては弱い。,-1,False,False
MR0021,CN121190373A,A METHOD AND SYSTEM FOR AUTOMATIC IDENTIFICATION OF PIN DEFECTS IN POWER TRANSMISSION LINES; 一种输电线路销钉缺陷自动识别方法及系统,proposed_top,CycleGAN,3,3,◎,◎,high,0,製造物や設備の欠陥・異常検出を画像処理で扱っており、専門家確認候補として強い。,送電線ピン欠陥の自動識別を対象とし、CycleGANやAttentionを用いているため、画像欠陥検出候補として強い。,0,True,True
MR0022,KR20250107065A,METHOD AND APPARATUS FOR CLASSIFYING IMAGE THROUGH TEST TIME ADAPTATION; 테스트 타임 적응을 통해 이미지를 분류하는 방법 및 장치,proposed_top,Domain Adaptation,3,2,◎,○,high,1,製造物や設備の欠陥・異常検出を画像処理で扱っており、専門家確認候補として強い。,Test-time adaptationによる画像分類であり、対象は欠陥検出に限定されないが、分布ずれへの対応手法として製造検査への参考性がある。,-1,False,False
MR0023,KR102517267B1,SYSTEM AND METHOD FOR INSPECTING MARINE BRIDGE; 해상 교량 점검 시스템 및 방법,proposed_top,ViT,3,3,◎,◎,high,0,製造物や設備の欠陥・異常検出を画像処理で扱っており、専門家確認候補として強い。,ドローンとAIによる海上橋梁の表面異常点検であり、構造物表面検査・欠陥検出の代表候補として妥当である。,0,True,True
MR0024,CN115601289A,A HEART AND LUNG ABNORMALITY DETECTION DEVICE AND EQUIPMENT; 一种心肺异常检测装置及设备,unet_related,U-Net,1,1,△,△,medium,0,画像中の異常検出・分割とは近いが、医療・健康用途が主題で製造欠陥検出とは対象がずれる。,U-Netを含む心肺X線画像の異常検出であり、画像分割・異常検出の点では近いが、医療画像用途のため製造欠陥検出候補としては弱い。,0,True,True
MR0025,US2019122073A1,SYSTEM AND METHOD FOR QUANTIFYING UNCERTAINTY IN REASONING ABOUT 2D AND 3D SPATIAL FEATURES WITH A COMPUTER MACHINE LEARNING ARCHITECTURE,unet_related,U-Net,1,1,△,△,medium,0,画像中の異常検出・分割とは近いが、医療・健康用途が主題で製造欠陥検出とは対象がずれる。,2D/3D空間特徴の不確実性伝播に関する汎用的な深層学習パイプラインであり、U-Netは含むが製造欠陥検出との直接対応は弱い。,0,True,True
MR0026,CN117058450A,AN ANOMALY DETECTION METHOD AND DEVICE BASED ON ADAPTIVE MASK RECONSTRUCTION; 一种基于自适应掩码重构的异常检测方法及装置,unet_related,U-Net,3,2,◎,○,high,1,製造物や設備の欠陥・異常検出を画像処理で扱っており、専門家確認候補として強い。,自適応マスク再構成による画像異常検出であり、対象は明確でないが、異常定位・再構成型検出として候補にできる。,-1,False,False
MR0027,CN119688741A,A PERFORMANCE ANALYSIS METHOD AND SYSTEM FOR BONDING WIRE FOR LED PACKAGING; 一种LED封装用键合丝的性能分析方法及系统,unet_related,U-Net,3,3,◎,◎,high,0,製造物や設備の欠陥・異常検出を画像処理で扱っており、専門家確認候補として強い。,LED封装用ボンディングワイヤのX線画像検査に改良U-Netを用いており、製造品質検査へのU-Net応用例として非常に強い。,0,True,True
MR0028,CN115527151A,"A VIDEO ANOMALY DETECTION METHOD, SYSTEM, ELECTRONIC EQUIPMENT AND STORAGE MEDIUM; 一种视频异常检测方法、系统、电子设备及存储介质",unet_related,U-Net,3,1,◎,△,low,1,製造物や設備の欠陥・異常検出を画像処理で扱っており、専門家確認候補として強い。,動画異常検出として画像系列の異常判定には関係するが、製造欠陥検出や表面検査との対応は限定的である。,-2,False,False
MR0029,CN115527151B,"A VIDEO ANOMALY DETECTION METHOD, SYSTEM, ELECTRONIC EQUIPMENT AND STORAGE MEDIUM; 一种视频异常检测方法、系统、电子设备及存储介质",unet_related,U-Net,3,1,◎,△,low,1,製造物や設備の欠陥・異常検出を画像処理で扱っており、専門家確認候補として強い。,MR0028と同系統の動画異常検出であり、画像異常検出としては関係するが、製造欠陥検出の代表例としては弱い。,-2,False,False
MR0030,CN119625451A,"CONSTRUCTION METHOD, IDENTIFICATION METHOD, DEVICE AND SYSTEM OF GATE LINE DROPOUT IDENTIFICATION MODEL; 门极线脱落识别模型的构建方法、识别方法、设备及系统",unet_related,U-Net,3,3,◎,◎,high,0,製造物や設備の欠陥・異常検出を画像処理で扱っており、専門家確認候補として強い。,産業異常検出画像とU-Netを用いた晶闸管門極線脱落認識であり、少量データの工業異常検出候補として強い。,0,True,True
MR0031,CN116542916A,"METHOD AND DEVICE FOR ABNORMALITY DETECTION OF TRAIN CHASSIS PARTS, ELECTRONIC EQUIPMENT AND MEDIUM; 列车车辆底盘零件异常检测方法和装置、电子设备及介质",unet_related,U-Net,3,3,◎,◎,high,0,製造物や設備の欠陥・異常検出を画像処理で扱っており、専門家確認候補として強い。,列車車両底盤部品の異常検出でU-Netを用いており強い候補である。ただしMR0016と内容が重複するため代表特許としては片方に絞る。,0,True,True
MR0032,CN118840763A,UNSUPERVISED SKELETON VIDEO ANOMALY DETECTION METHOD BASED ON TRAJECTORY PREDICTION CONDITIONAL DIFFUSION MODEL; 基于轨迹预测条件扩散模型的无监督骨架视频异常检测方法,unet_related,U-Net,0,0,×,×,high,0,画像中の異常検出・分割とは近いが、医療・健康用途が主題で製造欠陥検出とは対象がずれる。,人体骨格動画の異常検出が主題であり、U-Netとの対応も明確でないため、製造欠陥検出候補としては不適切である。,0,True,True
MR0033,CN116862894A,AN INDUSTRIAL DEFECT DETECTION METHOD BASED ON IMAGE RESTORATION; 一种基于图像恢复的工业缺陷检测方法,unet_related,U-Net,1,3,△,◎,medium,1,画像処理や異常検出の要素はあるが、主題が製造欠陥検出から離れており代表例としては弱い。,工業製品表面欠陥検出を対象とし、UNet系の復元・分割構造により異常領域を定位するため、卒論の代表例として非常に適している。,2,False,False
MR0034,CN111739002A,INSPECTION METHOD AND SYSTEM FOR PHOTOVOLTAIC MODULES; 一种光伏组件巡检方法及系统,random_low_rank,撮像装置; 検査装置,3,2,◎,○,high,1,製造物や設備の欠陥・異常検出を画像処理で扱っており、専門家確認候補として強い。,光伏组件の巡検・異常点定位であり視覚検査として妥当だが、技術手段は撮像装置・検査装置中心で具体的なAI手法としては弱い。,-1,False,False
MR0035,CN114511563B,DETECTION METHOD AND DEVICE FOR ABNORMAL PICTURES IN INDUSTRIAL QUALITY INSPECTION; 工业质检中异常图片的检测方法及装置,random_low_rank,YOLO; 欠陥検出,3,3,◎,◎,high,0,製造物や設備の欠陥・異常検出を画像処理で扱っており、専門家確認候補として強い。,工業質検における異常画像検出を対象とし、YOLO等を含むため、製造欠陥検出候補として強い。,0,True,True
MR0036,US11562481B2,"IMAGE PROCESSING APPARATUS, CONTROL METHOD THEREOF, AND STORAGE MEDIUM",random_low_rank,欠陥検出; 画像処理システム,3,2,◎,○,high,1,製造物や設備の欠陥・異常検出を画像処理で扱っており、専門家確認候補として強い。,参照画像と検査対象画像から欠陥検出処理を選択する画像処理装置であり、製造検査候補として妥当であるが、技術手段はやや一般的である。,-1,False,False
MR0037,CN111080622B,"NEURAL NETWORK TRAINING METHOD, WORKPIECE SURFACE DEFECT CLASSIFICATION AND DETECTION METHOD AND DEVICE; 神经网络训练方法、工件表面缺陷分类与检测方法及装置",random_low_rank,画像セグメンテーション; 欠陥検出; 画像分類; 深層学習モデル,3,3,◎,◎,high,0,製造物や設備の欠陥・異常検出を画像処理で扱っており、専門家確認候補として強い。,工件表面欠陥の分類・検出を対象とし、小サンプル深層学習で欠陥領域を定位するため、製造欠陥検出の代表例として使いやすい。,0,True,True
MR0038,JP7003669B2,SURFACE INSPECTION EQUIPMENT AND SURFACE INSPECTION METHOD; 表面検査装置、及び表面検査方法,random_low_rank,画像前処理; 画像生成・再構成; 撮像装置; 検査装置,3,2,◎,○,low,1,製造物や設備の欠陥・異常検出を画像処理で扱っており、専門家確認候補として強い。,表面検査装置・検査方法として対象分野には近いが、problem_contextが空欄で、技術手段も検査パターン・撮像中心であるため代表例としては弱い。,-1,False,False
MR0039,CN118501266B,RAPID DETECTION METHOD AND SYSTEM FOR UNDERWATER BRIDGE PIERS BASED ON SONAR CAMERA AND DEEP LEARNING; 基于声呐相机与深度学习的水下桥墩快速检测方法及系统,random_low_rank,YOLO; Transformer; Attention; 画像セグメンテーション; 注意機構,3,3,◎,◎,high,0,製造物や設備の欠陥・異常検出を画像処理で扱っており、専門家確認候補として強い。,YOLOv7を用いた水中橋脚と表面欠陥の検出であり、構造物検査における深層学習型欠陥検出の代表候補として強い。,0,True,True
MR0040,ES3040982T3,"DETECTION METHOD, DETECTION APPARATUS AND STORAGE MEDIUM",random_low_rank,検出方法,3,2,◎,○,high,1,製造物や設備の欠陥・異常検出を画像処理で扱っており、専門家確認候補として強い。,検査画像に対する複数検査要素の欠陥判定閾値を扱っており、欠陥検出候補として妥当であるが、技術手段は一般的である。,-1,False,False
MR0041,CN109727428A,REPETITIVE ALARM SUPPRESSION METHOD BASED ON DEEP LEARNING; 基于深度学习的重复报警抑制方法,random_low_rank,画像分類; 深層学習モデル,1,1,△,△,medium,0,画像処理や異常検出の要素はあるが、主題が製造欠陥検出から離れており代表例としては弱い。,YOLOv3による欠陥画像分類を含むが、主題は反復アラーム抑制であり、欠陥検出手法そのものの代表候補としては弱い。,0,True,True
MR0042,CN115993365B,A BELT DEFECT DETECTION METHOD AND SYSTEM BASED ON DEEP LEARNING; 一种基于深度学习的皮带缺陷检测方法及系统,random_low_rank,Attention; 欠陥検出; 画像分類; 特徴抽出; 画像生成・再構成,3,3,◎,◎,high,0,製造物や設備の欠陥・異常検出を画像処理で扱っており、専門家確認候補として強い。,深層学習による皮帯欠陥検出を対象とし、注意機構や小目标检测头を含むため、製造・設備欠陥検出の代表候補として強い。,0,True,True
MR0043,CN117422688A,"A BLOOD VESSEL ABNORMALITY DETECTION METHOD, DEVICE, ELECTRONIC EQUIPMENT AND STORAGE MEDIUM; 一种血管异常检测方法、装置、电子设备及存储介质",random_low_rank,画像セグメンテーション; 画像分類; 特徴抽出; 画像前処理; 画像生成・再構成,0,1,×,△,medium,1,画像中の異常検出・分割とは近いが、医療・健康用途が主題で製造欠陥検出とは対象がずれる。,冠動脈血管画像の異常検出であり、画像分割・異常検出という点では近いが、医療画像用途であるため製造欠陥検出候補としては弱い。,1,False,False
MR0044,CN114913377B,AN IMAGE ANOMALY DETECTION METHOD BASED ON SPATIAL CONTEXT VARIATIONAL AUTOENCODER; 一种基于空间上下文变分自动编码器的图像异常检测方法,future_growth,特徴抽出,1,1,△,△,medium,0,画像中の異常検出・分割とは近いが、医療・健康用途が主題で製造欠陥検出とは対象がずれる。,空間文脈変分オートエンコーダによる画像異常検出だが、疾病画像を対象としており、製造欠陥検出への参考性は限定的である。,0,True,True
MR0045,CN119295843A,"ABNORMALITY DETECTION METHOD, DEVICE, EQUIPMENT AND STORAGE MEDIUM FOR NEW ENERGY VEHICLE PCB BOARD; 新能源汽车PCB板的异常检测方法、装置、设备及存储介质",future_growth,画像生成・再構成,3,3,◎,◎,high,0,製造物や設備の欠陥・異常検出を画像処理で扱っており、専門家確認候補として強い。,新能源汽车PCB板の異常検出を対象とし、多モーダル融合、特徴再構成、Attentionを用いているため、製造欠陥検出の代表例として強い。,0,True,True
MR0046,CN112711982B,"VISUAL INSPECTION METHOD, DEVICE, SYSTEM AND STORAGE DEVICE; 视觉检测方法、设备、系统以及存储装置",future_growth,attention,1,0,△,×,low,1,画像処理や異常検出の要素はあるが、主題が製造欠陥検出から離れており代表例としては弱い。,視線・人体姿勢から視覚焦点を推定する特許であり、視覚検査という名称はあるが、製造欠陥検出とは課題・対象が異なる。,-1,False,False
MR0047,CN117115215B,"NON-RIGID REGISTRATION METHOD, DEVICE AND ELECTRONIC EQUIPMENT; 非刚性配准方法、装置及电子设备",future_growth,欠陥検出,0,0,×,×,low,0,画像処理や異常検出の要素はあるが、主題が製造欠陥検出から離れており代表例としては弱い。,非剛体レジストレーションによる物体マッチングが主題であり、欠陥検出というtechnical_meansは本文内容と合っていない。,0,True,True
MR0048,BR102024014618A2,DIABETIC FOOT MONITORING METHOD AND COMPUTER READABLE STORAGE MEDIUM; MÉTODO DE MONITORAMENTO DE PÉ DIABÉTICO E MEIO DE ARMAZENAMENTO LEGÍVEL POR COMPUTADOR,future_growth,深層学習モデル,0,0,×,×,low,0,画像中の異常検出・分割とは近いが、医療・健康用途が主題で製造欠陥検出とは対象がずれる。,糖尿病足モニタリングが主題であり、医療用途であるうえ本文情報も不足しているため、製造欠陥検出候補としては不適切である。,0,True,True
MR0049,CN116452596B,A VISUAL DETECTION METHOD FOR SILICONE TOY INJECTION MOLDING OVERFLOW; 一种硅胶玩具注塑溢胶视觉检测方法,future_growth,画像セグメンテーション,3,3,◎,◎,low,0,製造物や設備の欠陥・異常検出を画像処理で扱っており、専門家確認候補として強い。,シリコーン玩具の射出成形における溢胶を画像から検出する特許であり、製造外観検査の代表例として使いやすい。,0,True,True
MR0050,CN113361689B,SUPER-RESOLUTION RECONSTRUCTION NETWORK MODEL TRAINING METHOD AND SCANNED IMAGE PROCESSING METHOD; 超分辨率重建网络模型的训练方法和扫描图像处理方法,future_growth,注意機構,0,1,×,△,high,1,画像中の異常検出・分割とは近いが、医療・健康用途が主題で製造欠陥検出とは対象がずれる。,超解像再構成による画像処理であり、検査画像の前処理としては参考になるが、欠陥検出そのものではないため候補としては弱い。,1,False,False
MR0051,JP7557195B2,HIGHLY INTELLIGENT INSPECTION SYSTEM FOR SHIP WALL INSPECTION; 船舶の壁面検査用高度知能化検査システム,future_growth,画像分類,3,2,◎,○,low,1,製造物や設備の欠陥・異常検出を画像処理で扱っており、専門家確認候補として強い。,船舶壁面の状態を画像で良否判定する検査システムであり、表面検査候補として妥当だが、problem_contextが空欄で技術手段は一般的である。,-1,False,False
MR0052,CN119648646A,A METHOD AND SYSTEM FOR DETECTING ABNORMAL DATA IN REGIONAL HEALTH BIG DATA; 一种用于区域健康大数据的异常数据检测方法及系统,future_growth,画像前処理,0,0,×,×,high,0,画像中の異常検出・分割とは近いが、医療・健康用途が主題で製造欠陥検出とは対象がずれる。,地域健康ビッグデータの異常データ検出が主題であり、画像前処理や製造欠陥検出とは対応しない。,0,True,True
MR0053,CN116611474A,FAST AND LOW MEMORY FOOTPRINT CONVOLUTIONAL NEURAL NETWORK FOR TOMOGRAPHIC FUSION DATA PROCESSING AND FEATURE DETECTION; 用于断层融合数据处理和特征检测的快速和低存储器占用卷积神经网络,future_growth,cnn,1,1,△,△,medium,0,画像中の異常検出・分割とは近いが、医療・健康用途が主題で製造欠陥検出とは対象がずれる。,X線断層画像の特徴・異常検出向けCNNであり画像異常検出としては関係するが、対象が製造欠陥検出とは明確に対応しない。,0,True,True
